id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras,m_aval
1,-7,29,-6,7,211,5
2,0,0,0,0,9,1
3,2,7,0,2,91,2
4,2,3,1,1,24,1
5,-5,16,0,2,100,3
6,2,45,0,6,354,2
7,1,4,0,0,66,2.5
8,1,11,0,1,118,3
9,-6,26,2,2,152,3
10,1,8,0,2,79,4.5
11,5,37,3,7,257,3.5
12,6,20,-1,1,142,2
13,-1,2,0,0,31,3
14,-6,16,-3,3,93,3.5
15,-1,12,0,0,151,2.5
16,1,13,0,0,98,1.5
17,0,0,0,0,20,3
18,-1,12,0,0,131,3.5
19,4,9,4,4,75,2
20,-4,16,-1,3,148,4
21,0,11,-2,2,66,4
22,-2,18,-3,3,101,4
23,1,29,0,4,261,2.5
24,-2,6,-2,2,55,5
25,12,65,0,5,578,2.5
26,1,16,-1,7,124,2
27,1,15,0,5,111,4
28,13,32,2,2,273,2
29,1,6,0,0,22,1
30,-4,21,-2,4,158,3
31,-3,5,1,1,36,1
32,0,18,2,2,94,4
33,0,13,0,4,160,2
34,5,14,6,6,191,2
35,2,12,-1,3,86,3
36,0,9,0,2,43,1
37,0,5,0,0,51,2.5
38,1,22,-5,11,203,1
39,22,48,12,15,366,2.5
40,11,33,4,9,343,4
41,2,3,2,2,40,1.5
42,4,29,-6,10,353,3
43,-1,19,0,3,226,3
44,2,10,2,2,83,2
45,2,6,1,1,28,1
46,2,12,2,6,102,1.5
47,-8,50,-5,15,530,4.5
48,-1,12,-2,2,107,4.5
49,7,14,7,7,173,2
50,2,18,1,3,168,1.5
51,7,22,7,7,200,3.5
52,-1,3,0,2,26,2
53,-1,16,1,3,116,2.5
54,-6,19,5,12,231,2
55,4,10,1,4,109,3
56,6,52,9,13,523,2
57,3,12,3,3,105,2
58,7,21,4,5,141,2
59,2,5,-1,1,34,1
60,-2,37,2,6,312,5
